time	V(highside)	V(highside)-V(out)	V(lowside)	V(out)
0.000000000000000e+00	1.439101e-08	5.359446e-11	5.456120e-11	1.433741e-08
9.999999960041972e-12	1.439121e-08	5.354739e-11	5.461585e-11	1.433767e-08
1.004000010999124e-11	1.439129e-08	5.353495e-11	5.463350e-11	1.433775e-08
1.012000040988979e-11	1.439092e-08	5.365486e-11	5.452564e-11	1.433727e-08
1.014000048486443e-11	1.439335e-08	5.298784e-11	5.520294e-11	1.434036e-08
1.014500050360809e-11	1.439477e-08	5.261569e-11	5.559455e-11	1.434216e-08
1.015500054109541e-11	1.439508e-08	5.259260e-11	5.566182e-11	1.434249e-08
1.017500061607004e-11	1.439191e-08	5.350564e-11	5.476393e-11	1.433840e-08
1.021500076601932e-11	1.439060e-08	5.382983e-11	5.440779e-11	1.433677e-08
1.022500080350663e-11	1.439072e-08	5.378809e-11	5.444241e-11	1.433693e-08
1.024500087848127e-11	1.439280e-08	5.319567e-11	5.502985e-11	1.433961e-08
1.025000089722493e-11	1.440515e-08	4.974954e-11	5.848925e-11	1.435540e-08
1.025125090191085e-11	1.441258e-08	4.770584e-11	6.056271e-11	1.436487e-08
1.025375091128267e-11	1.441873e-08	4.609380e-11	6.225756e-11	1.437264e-08
1.025875093002633e-11	1.440933e-08	4.886846e-11	5.957761e-11	1.436046e-08
1.026875096751365e-11	1.439943e-08	5.176837e-11	5.675907e-11	1.434766e-08
1.028875104248829e-11	1.439389e-08	5.337242e-11	5.518574e-11	1.434051e-08
1.032875119243756e-11	1.439145e-08	5.399148e-11	5.451531e-11	1.433746e-08
1.040875149233611e-11	1.439195e-08	5.375522e-11	5.467524e-11	1.433819e-08
1.056875209213320e-11	1.439242e-08	5.357847e-11	5.480807e-11	1.433884e-08
1.060875224208248e-11	1.440685e-08	4.959055e-11	5.884036e-11	1.435726e-08
1.061000224676839e-11	1.441213e-08	4.815526e-11	6.030954e-11	1.436397e-08
1.061250225614022e-11	1.441672e-08	4.697398e-11	6.156759e-11	1.436975e-08
1.061312725848318e-11	1.434037e-08	6.813305e-11	4.018982e-11	1.427224e-08
1.061328350906892e-11	1.471379e-08	-3.695622e-11	1.450909e-10	1.475075e-08
1.061332257171535e-11	1.347141e-08	2.935980e-10	-1.997376e-10	1.317781e-08
1.061332379242305e-11	1.277817e-08	4.836140e-10	-3.933680e-10	1.229456e-08
1.061332623383845e-11	1.048407e-08	1.133456e-09	-1.038750e-09	9.350618e-09
1.061332723383845e-11	9.603386e-09	1.381643e-09	-1.286227e-09	8.221742e-09
1.061332923383845e-11	4.089792e-09	2.918375e-09	-2.831828e-09	1.171417e-09
1.061333323383845e-11	-2.472391e-08	1.104113e-08	-1.092919e-08	-3.576504e-08
1.061333423383845e-11	-3.330494e-08	1.344910e-08	-1.333824e-08	-4.675404e-08
1.061333623383845e-11	-3.697819e-08	1.445673e-08	-1.436439e-08	-5.143492e-08
1.061334023383845e-11	-2.112143e-08	1.001119e-08	-9.913616e-09	-3.113262e-08
1.061334823383845e-11	1.820965e-09	3.589017e-09	-3.476172e-09	-1.768052e-09
1.061336423383845e-11	1.404829e-08	1.441620e-10	-4.044102e-11	1.390413e-08
1.061339623383845e-11	1.477779e-08	-6.151346e-11	1.645702e-10	1.483930e-08
1.061346023383845e-11	1.386340e-08	1.993676e-10	-9.307379e-11	1.366404e-08
1.061358823383845e-11	1.404867e-08	1.495977e-10	-4.154365e-11	1.389907e-08
1.061384423383846e-11	1.428570e-08	8.327294e-11	2.496459e-11	1.420243e-08
1.061435623383845e-11	1.427791e-08	8.503953e-11	2.287916e-11	1.419287e-08
1.061448423383845e-11	1.430036e-08	7.878498e-11	2.917188e-11	1.422157e-08
1.061474023383846e-11	1.427138e-08	8.686918e-11	2.105138e-11	1.418451e-08
1.061525223383846e-11	1.422017e-08	1.007736e-10	6.783855e-12	1.411939e-08
1.061627623383846e-11	1.429065e-08	8.067413e-11	2.665443e-11	1.420997e-08
1.061832423383845e-11	1.435321e-08	6.314060e-11	4.422560e-11	1.429007e-08
1.061883623383845e-11	1.433682e-08	6.773959e-11	3.962871e-11	1.426908e-08
