in s,C1 in V
-2.9999920E-03,1.77490E+01
-2.9999456E-03,2.49756E+01
-2.9998992E-03,2.20459E+01
-2.9998528E-03,1.60400E+01
-2.9998064E-03,2.49756E+01
-2.9997600E-03,2.49756E+01
-2.9997136E-03,1.97998E+01
-2.9996672E-03,2.02393E+01
-2.9996208E-03,2.49756E+01
-2.9995744E-03,2.46826E+01
-2.9995280E-03,1.95068E+01
-2.9994816E-03,2.34131E+01
-2.9994352E-03,2.49756E+01
-2.9993888E-03,2.20947E+01
-2.9993424E-03,2.09229E+01
-2.9992960E-03,2.49756E+01
-2.9992496E-03,2.48291E+01
-2.9992032E-03,2.16553E+01
-2.9991568E-03,2.29248E+01
-2.9991104E-03,2.49756E+01
-2.9990640E-03,2.33154E+01
-2.9990176E-03,2.21924E+01
-2.9989712E-03,2.40479E+01
-2.9989248E-03,2.43896E+01
-2.9988784E-03,2.27783E+01
-2.9988320E-03,2.28760E+01
-2.9987856E-03,2.41455E+01
-2.9987392E-03,2.36084E+01
-2.9986928E-03,2.25342E+01
-2.9986464E-03,2.34131E+01
-2.9986000E-03,2.39502E+01
-2.9985536E-03,2.32178E+01
-2.9985072E-03,2.29248E+01
-2.9984608E-03,2.38037E+01
-2.9984144E-03,2.36572E+01
-2.9983680E-03,2.31689E+01
-2.9983216E-03,2.34619E+01
-2.9982752E-03,2.38037E+01
-2.9982288E-03,2.34131E+01
-2.9981824E-03,2.31689E+01
-2.9981360E-03,2.36084E+01
-2.9980896E-03,2.35596E+01
-2.9980432E-03,2.32178E+01
-2.9979968E-03,2.33643E+01
-2.9979504E-03,2.34619E+01
-2.9979040E-03,2.33643E+01
-2.9978576E-03,2.32178E+01
-2.9978112E-03,2.33643E+01
-2.9977648E-03,2.34131E+01
-2.9977184E-03,2.32666E+01
-2.9976720E-03,2.33643E+01
-2.9976256E-03,2.33154E+01
-2.9975792E-03,2.33643E+01
-2.9975328E-03,2.32666E+01
-2.9974864E-03,2.33154E+01
-2.9974400E-03,2.33154E+01
-2.9973936E-03,2.33154E+01
-2.9973472E-03,2.33154E+01
-2.9973008E-03,2.34131E+01
-2.9972544E-03,2.33643E+01
-2.9972080E-03,2.34131E+01
-2.9971616E-03,2.32666E+01
-2.9971152E-03,2.34619E+01
-2.9970688E-03,2.33643E+01
-2.9970224E-03,2.34131E+01
-2.9969760E-03,2.32666E+01
-2.9969296E-03,2.34131E+01
-2.9968832E-03,2.32666E+01
-2.9968368E-03,2.33643E+01
-2.9967904E-03,2.33154E+01
-2.9967440E-03,2.34131E+01
-2.9966976E-03,2.34619E+01
-2.9966512E-03,2.33643E+01
-2.9966048E-03,2.34619E+01
-2.9965584E-03,2.35596E+01
-2.9965120E-03,2.34131E+01
-2.9964656E-03,2.33643E+01
-2.9964192E-03,2.35107E+01
-2.9963728E-03,2.33643E+01
-2.9963264E-03,2.34131E+01
-2.9962800E-03,2.33643E+01
-2.9962336E-03,2.33643E+01
-2.9961872E-03,2.34131E+01
-2.9961408E-03,2.32666E+01
-2.9960944E-03,2.34619E+01
-2.9960480E-03,2.35107E+01
-2.9960016E-03,2.34131E+01
-2.9959552E-03,2.33154E+01
-2.9959088E-03,2.33154E+01
-2.9958624E-03,2.33643E+01
-2.9958160E-03,2.33154E+01
-2.9957696E-03,2.33154E+01
-2.9957232E-03,2.34131E+01
-2.9956768E-03,2.33643E+01
-2.9956304E-03,2.34619E+01
-2.9955840E-03,2.35596E+01
-2.9955376E-03,2.33154E+01
-2.9954912E-03,2.33154E+01
-2.9954448E-03,2.33643E+01
-2.9953984E-03,2.34131E+01
-2.9953520E-03,2.35596E+01
-2.9953056E-03,2.33643E+01
-2.9952592E-03,2.33643E+01
-2.9952128E-03,2.34619E+01
-2.9951664E-03,2.34131E+01
-2.9951200E-03,2.34131E+01
-2.9950736E-03,2.33643E+01
-2.9950272E-03,2.34131E+01
-2.9949808E-03,2.32666E+01
-2.9949344E-03,2.33643E+01
-2.9948880E-03,2.34131E+01
-2.9948416E-03,2.34131E+01
-2.9947952E-03,2.33643E+01
-2.9947488E-03,2.32666E+01
-2.9947024E-03,2.34131E+01
-2.9946560E-03,2.33154E+01
-2.9946096E-03,2.35596E+01
-2.9945632E-03,2.32666E+01
-2.9945168E-03,2.34619E+01
-2.9944704E-03,2.31689E+01
-2.9944240E-03,2.34619E+01
-2.9943776E-03,2.34131E+01
-2.9943312E-03,2.34619E+01
-2.9942848E-03,2.32666E+01
-2.9942384E-03,2.34131E+01
-2.9941920E-03,2.34619E+01
-2.9941456E-03,2.34619E+01
-2.9940992E-03,2.34619E+01
-2.9940528E-03,2.34131E+01
-2.9940064E-03,2.33643E+01
-2.9939600E-03,2.34131E+01
-2.9939136E-03,2.34619E+01
-2.9938672E-03,2.33154E+01
-2.9938208E-03,2.34131E+01
-2.9937744E-03,2.34619E+01
-2.9937280E-03,2.35107E+01
-2.9936816E-03,2.34131E+01
-2.9936352E-03,2.33154E+01
-2.9935888E-03,2.34131E+01
-2.9935424E-03,2.34619E+01
-2.9934960E-03,2.34131E+01
-2.9934496E-03,2.34619E+01
-2.9934032E-03,2.33643E+01
-2.9933568E-03,2.34131E+01
-2.9933104E-03,2.32666E+01
-2.9932640E-03,2.33643E+01
-2.9932176E-03,2.34131E+01
-2.9931712E-03,2.34131E+01
-2.9931248E-03,2.32178E+01
-2.9930784E-03,2.34619E+01
-2.9930320E-03,2.33154E+01
-2.9929856E-03,2.32666E+01
-2.9929392E-03,2.33643E+01
-2.9928928E-03,2.33154E+01
-2.9928464E-03,2.34131E+01
-2.9928000E-03,2.34131E+01
-2.9927536E-03,2.33643E+01
-2.9927072E-03,2.33643E+01
-2.9926608E-03,2.33643E+01
-2.9926144E-03,2.34131E+01
-2.9925680E-03,2.32666E+01
-2.9925216E-03,2.33154E+01
-2.9924752E-03,2.33154E+01
-2.9924288E-03,2.35107E+01
-2.9923824E-03,2.32666E+01
-2.9923360E-03,2.33154E+01
-2.9922896E-03,2.34619E+01
-2.9922432E-03,2.34131E+01
-2.9921968E-03,2.34131E+01
-2.9921504E-03,2.35107E+01
-2.9921040E-03,2.34131E+01
-2.9920576E-03,2.33154E+01
-2.9920112E-03,2.32666E+01
-2.9919648E-03,2.34131E+01
-2.9919184E-03,2.34131E+01
-2.9918720E-03,2.33643E+01
-2.9918256E-03,2.34131E+01
-2.9917792E-03,2.33154E+01
-2.9917328E-03,2.34619E+01
-2.9916864E-03,2.33154E+01
-2.9916400E-03,2.34131E+01
-2.9915936E-03,2.33154E+01
-2.9915472E-03,2.33643E+01
-2.9915008E-03,2.32178E+01
-2.9914544E-03,2.34131E+01
-2.9914080E-03,2.33643E+01
-2.9913616E-03,2.35107E+01
-2.9913152E-03,2.35596E+01
-2.9912688E-03,2.32666E+01
-2.9912224E-03,2.33154E+01
-2.9911760E-03,2.33643E+01
-2.9911296E-03,2.34131E+01
-2.9910832E-03,2.36084E+01
-2.9910368E-03,2.33154E+01
-2.9909904E-03,2.33154E+01
-2.9909440E-03,2.35596E+01
-2.9908976E-03,2.34131E+01
-2.9908512E-03,2.33154E+01
-2.9908048E-03,2.36084E+01
-2.9907584E-03,2.32666E+01
-2.9907120E-03,2.32666E+01
-2.9906656E-03,2.32666E+01
-2.9906192E-03,2.32178E+01
-2.9905728E-03,2.32666E+01
-2.9905264E-03,2.34131E+01
-2.9904800E-03,2.33643E+01
-2.9904336E-03,2.34131E+01
-2.9903872E-03,2.36084E+01
-2.9903408E-03,2.34131E+01
-2.9902944E-03,2.32666E+01
-2.9902480E-03,2.33643E+01
-2.9902016E-03,2.33154E+01
-2.9901552E-03,2.33643E+01
-2.9901088E-03,2.34131E+01
-2.9900624E-03,2.34131E+01
-2.9900160E-03,2.32666E+01
-2.9899696E-03,2.32178E+01
-2.9899232E-03,2.34131E+01
-2.9898768E-03,2.33643E+01
-2.9898304E-03,2.31201E+01
-2.9897840E-03,2.32178E+01
-2.9897376E-03,2.32666E+01
-2.9896912E-03,2.34131E+01
